long,lat,Herb,Litter,Bare,Shrub,Ann_Herb,treecanopy,Herb_t,Litter_t,Bare_t,Shrub_t,Ann_Herb_t,treecanopy_t
-109.9974,37.6044,11.0,10.0,51.0,12.0,0.0,6.0,0.53,0.36,0.48,0.26,0.0,0.21
-109.9971,37.61997,8.0,26.0,27.0,34.0,0.0,13.0,0.37,1.0,0.19,0.74,0.0,0.45
-109.995,37.59727,10.0,11.0,64.0,11.0,0.0,19.0,0.47,0.4,0.64,0.24,0.0,0.66
-109.994,37.62499,2.0,3.0,92.0,0.0,0.0,0.0,0.05,0.08,0.98,0.0,0.0,0.0
-109.9933,37.6102,11.0,15.0,53.0,12.0,0.0,18.0,0.53,0.56,0.51,0.26,0.0,0.62
-109.993,37.5941,7.0,9.0,75.0,7.0,0.0,0.0,0.32,0.32,0.77,0.15,0.0,0.0
-109.993,37.61865,15.0,19.0,34.0,19.0,0.0,19.0,0.74,0.72,0.28,0.41,0.0,0.66
-109.9926,37.62684,8.0,10.0,85.0,8.0,0.0,5.0,0.37,0.36,0.89,0.17,0.0,0.17
-109.9916,37.63212,7.0,5.0,78.0,5.0,0.0,0.0,0.32,0.16,0.81,0.11,0.0,0.0
-109.9913,37.62578,15.0,20.0,34.0,19.0,0.0,0.0,0.74,0.76,0.28,0.41,0.0,0.0
-109.9909,37.59278,10.0,13.0,54.0,15.0,0.0,9.0,0.47,0.48,0.52,0.33,0.0,0.31
-109.9882,37.62736,12.0,18.0,26.0,32.0,0.0,27.0,0.58,0.68,0.18,0.7,0.0,0.93
-109.9878,37.62235,12.0,13.0,48.0,19.0,0.0,23.0,0.58,0.48,0.45,0.41,0.0,0.79
-109.9858,37.62156,13.0,9.0,49.0,16.0,0.0,20.0,0.63,0.32,0.46,0.35,0.0,0.69
-109.9837,37.62763,9.0,16.0,43.0,14.0,0.0,0.0,0.42,0.6,0.39,0.3,0.0,0.0
-109.983,37.62974,5.0,6.0,77.0,9.0,0.0,6.0,0.21,0.2,0.8,0.2,0.0,0.21
-109.9823,37.62816,17.0,16.0,30.0,27.0,0.0,0.0,0.84,0.6,0.23,0.59,0.0,0.0
-109.9803,37.6139,10.0,6.0,51.0,17.0,0.0,19.0,0.47,0.2,0.48,0.37,0.0,0.66
-109.9799,37.62868,15.0,20.0,32.0,20.0,0.0,0.0,0.74,0.76,0.25,0.43,0.0,0.0
-109.9786,37.60308,11.0,14.0,41.0,21.0,0.0,24.0,0.53,0.52,0.36,0.46,0.0,0.83
-109.9786,37.63027,20.0,18.0,32.0,24.0,5.0,0.0,1.0,0.68,0.25,0.52,0.83,0.0
-109.9782,37.62921,7.0,16.0,67.0,12.0,0.0,9.0,0.32,0.6,0.67,0.26,0.0,0.31
-109.9775,37.63344,11.0,11.0,53.0,18.0,0.0,14.0,0.53,0.4,0.51,0.39,0.0,0.48
-109.9762,37.62789,15.0,16.0,42.0,22.0,0.0,11.0,0.74,0.6,0.37,0.48,0.0,0.38
-109.9758,37.59912,6.0,5.0,71.0,8.0,0.0,0.0,0.26,0.16,0.72,0.17,0.0,0.0
-109.9758,37.60862,12.0,8.0,52.0,16.0,0.0,24.0,0.58,0.28,0.49,0.35,0.0,0.83
-109.9758,37.62684,7.0,24.0,30.0,23.0,5.0,10.0,0.32,0.92,0.23,0.5,0.83,0.34
-109.9734,37.61522,11.0,12.0,47.0,21.0,0.0,21.0,0.53,0.44,0.43,0.46,0.0,0.72
-109.9731,37.6308,3.0,26.0,11.0,42.0,0.0,29.0,0.11,1.0,0.0,0.91,0.0,1.0
